,상호,브랜드,"가입비
(가맹비)",교육비,보증금,"기타비용
(인테리어
비용포함)","합계
(창업비용
지수)","인테리어면적당(3.3㎡)
비용","기준면적
(㎡)인테리어",총 비용,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점 평균 매출액 ,가맹점 면적(3.3㎡)당 평균매출액
,평균,-,"7,274","3,921","3,051","90,512","104,758
(1.00)","14,107",93,"1,208,114",33,6,2,1,3,216301,27857
2024,포레스트아웃팅스,포레스트아웃팅스,"33,000","22,000","20,000","3,674,000","3,749,000
(36.00)","3,300","3,300","3,300,000",1,0,0,0,0,11886519,39229
2024,(주)라붐팩토리,라붐커피 (LABOOM COFFEE),"22,000","11,000","10,000","227,150","270,150
(3.00)","2,915",165,"145,750",1,0,0,2,0,1670000,18370
2024,연두커피인터내셔날(주),드립앤더치,"6,600","4,400","10,000","232,430","253,430
(2.00)","2,695",132,"107,800",3,0,0,0,0,932731,73637
2024,(주)밀화당,밀화당,"33,000","11,000",0,"448,800","492,800
(5.00)","2,200",330,"220,000",5,1,0,0,1,891880,9376
2024,(주)스컹크웍스코리아,스컹크웍스,"33,000","5,500",0,"302,500","341,000
(3.00)","2,750",198,"165,000",5,2,0,0,2,737880,9775
2024,(주)문화의물결에프엔씨,까사부사노,"22,000","5,500","10,000","166,320","203,820
(2.00)","2,200",132,"88,000",2,1,0,0,0,725196,36988
2024,(주)에스디인터내셔날,9 BLOCK (나인블럭),"22,000",0,"20,000","517,000","559,000
(5.00)","2,310",660,"462,000",4,1,0,0,0,678521,2721
2024,묵리459,묵리459,"22,000","11,000","10,000","561,000","604,000
(6.00)","3,300",396,"396,000",1,1,0,0,0,669541,66954
2024,카페달링,카페달링,"2,200","3,300",0,"31,383","36,883
(.00)","1,320",33,"13,200",12,2,0,1,0,540094,38329
2024,투썸플레이스(주),투썸플레이스,"25,000","1,500","10,000","273,300","309,800
(3.00)","2,187",148,"98,400",1484,125,0,53,132,522117,8949
2024,(주)그린에그에프엔비,콩카페,"11,000","6,600","5,000","215,600","238,200
(2.00)","2,750",132,"110,000",14,13,0,0,0,510932,12805
2024,서컴퍼니,부바스,"5,500","5,500","2,000","140,800","153,800
(1.00)","2,750",99,"82,500",8,4,0,0,0,502590,8089
2024,(주)더빌드,이너리트,"3,300","3,300",0,"65,760","72,360
(1.00)","2,750",33,"27,500",2,0,0,0,0,500372,5054
2024,(주)하이테이블,하이테이블,"11,000","5,500","5,000","180,565","202,065
(2.00)","3,300",132,"132,000",17,7,0,0,0,498966,7470
2024,또리커피본점,또리커피,"5,500","3,300","3,000","69,300","81,100
(1.00)","2,750",33,"27,500",10,10,0,0,0,483803,35837
2024,"(주)플러스82(PLUS82Co.,Ltd.)",PLUS 82(플러스 82),"7,700","3,300","3,000","71,500","85,500
(1.00)","1,650",33,"16,500",122,102,0,0,8,476469,31470
2024,㈜디앤지컴퍼니본,씨이십칠(C27),"11,000","3,300","10,000","214,500","238,800
(2.00)","2,200",132,"88,000",3,0,1,0,0,462506,7312
